"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"SOUTH BAY ASBESTOS AREA","Waste Management","Co-disposal landfill (municipal and industrial)","ALVISO","SANTA CLARA","CA","06085","CAD980894885",44.68,"100 year zone","Not in sea level rise area",1,1983-11-01,1986-06-10,NA,288,103,75714,108382,0.47,0.1,0.02,0.18,0.26,0.52,18,68,37.42986,-121.9811
"NEWMARK GROUND WATER CONTAMINATION","Other","Ground water plume site with no identifiable source","SAN BERNARDINO","SAN BERNARDINO","CA","06071","CAD981434517",35.57,"500 year zone","Not in sea level rise area",0,1986-08-01,1989-03-31,NA,14201,4397,35133,68576,0.52,0.24,0.16,0.25,0.06,0.5,1092,3844,34.17181,-117.3131
"UNITED HECKATHORN CO.","Manufacturing/Processing/Maintenance","Chemicals and allied products","RICHMOND","CONTRA COSTA","CA","06013","CAD981436363",40.96,"Not in flood zone","1 meter rise",1,1986-09-01,1990-03-14,NA,12303,4478,32172,84097,0.62,0.23,0.24,0.09,0.08,0.55,1076,3576,37.9226,-122.3654
"FIRESTONE TIRE & RUBBER CO. (SALINAS PLANT)","Manufacturing/Processing/Maintenance","Plastics and rubber products","SALINAS","MONTEREY","CA","06053","CAD990793887",45.91,"100 year zone","Not in sea level rise area",0,1979-11-01,1987-07-22,2005-04-21,206,49,63594,124250,0.46,0.11,0.01,0.16,0.06,0.78,18,67,36.6249,-121.5901
"SYNERTEK, INC. (BUILDING 1)","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","SANTA CLARA","SANTA CLARA","CA","06085","CAD990832735",31.94,"500 year zone","Not in sea level rise area",0,1986-05-01,1989-10-04,NA,10405,3545,69375,108519,0.58,0.11,0.05,0.26,0.35,0.3,827,2452,37.3773,-121.9719
"SOUTHERN AVENUE INDUSTRIAL AREA","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","SOUTH GATE","LOS ANGELES","CA","06037","CAN000905902",50,"500 year zone","Not in sea level rise area",NA,2002-02-01,2012-05-10,NA,27413,6951,33567,66934,0.54,0.23,0.01,0.04,0.01,0.94,2306,8258,33.946112,-118.176669
"INTEL CORP. (SANTA CLARA III)","Other","Research, development, and testing facility","SANTA CLARA","SANTA CLARA","CA","06085","CAT000612184",31.94,"500 year zone","Not in sea level rise area",0,1980-08-01,1986-06-10,NA,13148,4487,69375,118441,0.53,0.11,0.05,0.28,0.32,0.31,1028,3091,37.3737,-121.9717
"LIQUID GOLD OIL CORP.","Recycling","Waste/used oil","RICHMOND","CONTRA COSTA","CA","06013","CAT000646208",43.32,"100 year zone","Not in sea level rise area",1,1979-10-01,1983-09-08,1996-09-11,13526,5809,29867,87398,0.55,0.18,0.28,0.26,0.19,0.22,999,2797,37.90833,-122.325
"BRODERICK WOOD PRODUCTS","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","DENVER","ADAMS","CO","08001","COD000110254",35.13,"100 year zone","Not in sea level rise area",1,1980-08-01,1984-09-21,NA,4630,1588,37179,54417,0.38,0.2,0.01,0.32,0.02,0.63,311,1073,39.8148,-104.9989
"KELLOGG-DEERING WELL FIELD","Other","Ground water plume site with no identifiable source","NORWALK","FAIRFIELD","CT","09001","CTD980670814",39.92,"100 year zone","Not in sea level rise area",0,1980-05-01,1984-09-21,NA,13856,5514,48355,136429,0.36,0.06,0.17,0.55,0.05,0.23,905,2652,41.13055,-73.43195
"TYNDALL AIR FORCE BASE","Other","Military/Other Ordinance","PANAMA CITY","BAY","FL","12005","FL1570024124",50,"Not in flood zone","1.5 meter rise",NA,1988-02-12,1997-04-01,NA,132,41,51635,51635,1,0.08,0.14,0.6,0.05,0.13,23,52,30.0875,-85.58666
"HOMESTEAD AIR FORCE BASE","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","HOMESTEAD AIR FORCE BASE","MIAMI-DADE","FL","12086","FL7570024037",42.4,"Not in flood zone","1.5 meter rise",1,1988-02-12,1990-08-30,NA,1058,175,11533,71523,0.65,0.7,0.44,0.14,0.01,0.46,80,322,25.48944,-80.39694
"SYDNEY MINE SLUDGE PONDS","Waste Management","Industrial waste facility (non-generator)","BRANDON","HILLSBOROUGH","FL","12057","FLD000648055",38.93,"100 year zone","Not in sea level rise area",0,1985-02-01,1989-10-04,NA,2792,1051,38074,70914,0.2,0.14,0.08,0.65,0.02,0.22,189,677,27.92916,-82.20916
"REEVES SOUTHEASTERN GALVANIZING CORP.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","TAMPA","HILLSBOROUGH","FL","12057","FLD000824896",58.75,"100 year zone","Not in sea level rise area",1,1980-08-01,1983-09-08,NA,4073,1340,31760,62143,0.68,0.15,0.27,0.36,0.11,0.21,519,995,27.9725,-82.34193
"STAUFFER CHEMICAL CO (TAMPA)","Manufacturing/Processing/Maintenance","Chemicals and allied products","TAMPA","HILLSBOROUGH","FL","12057","FLD004092532",63.62,"Not in flood zone","1 meter rise",1,1980-04-01,1996-12-23,NA,3127,991,15060,46457,0.56,0.34,0.35,0.36,0.01,0.27,213,687,27.96305,-82.37055
"HOLLINGSWORTH SOLDERLESS TERMINAL","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","FORT LAUDERDALE","BROWARD","FL","12011","FLD004119681",44.53,"100 year zone","Not in sea level rise area",0,1980-11-01,1983-09-08,NA,11941,4512,28504,60060,0.4,0.21,0.17,0.41,0.03,0.37,950,2608,26.19833,-80.15221
"STANDARD AUTO BUMPER CORP.","Manufacturing/Processing/Maintenance","Metal fabrication/finishing/coating and allied industries","HIALEAH","MIAMI-DADE","FL","12086","FLD004126520",42.79,"100 year zone","1.5 meter rise",0,1982-04-01,1989-10-04,2007-10-26,31964,10544,14703,70625,0.68,0.35,0.03,0.04,0,0.95,1494,5560,25.84444,-80.28972
